SKU;NOMBRE;MONTO;DSCTO;FECHA;ESTADO
1952192;MOCHILA BASICA AEREAL FLORES SB-2102G;6299;0;2022-12-31T21:54:1 5.354699Z;EXPIRED
10228250;MANDO MÓVIL PARA CELULAR W11+ NEGRO;2313;0;2022-12-31T21:54:16 .494584Z;EXPIRED
0;REGISTRO AGORA;210;0;2022-12-31T21:54:33.280110Z;REVERSED
24041;CREMA DENTAL COLGATE LUMINOUS WHITE BRILLANT - TUBO 125 ML;4459;0 ;2022-12-31T21:55:00.246739Z;EXPIRED
1795113;ZAPATILLAS URBANAS MUJER ADIDAS STRUTTER BLANCO TALLA 35.5 PE | 5.5 U S;33719;0;2022-12-31T21:55:07.477299Z;FINALIZED
10214231;PAÑAL PARA BEBÉ BALANZÉ BABY TALLA XXG PAQUETE 48UN;9024;0;202 2-12-31T21:55:09.421305Z;FINALIZED
1000433836;RELOJ CASIO W-800H-1AVDF NEGRO HOMBRE;58687;0;2022-12-31T21: 55:17.198705Z;FINALIZED
127090;DIRECTV KIT PREPAGO;10307;0;2022-12-31T21:55:27.300468Z;FINALI ZED
10228250;MANDO MÓVIL PARA CELULAR W11+ NEGRO;2313;0;2022-12-31T21:55:38 .799948Z;REJECT
2163489;KIT MOCHILA TARGUS BLUE+MOUSE INALAMBRICO;21024;0;2022-12-31T21 :55:40.786014Z;FINALIZED
1855966;LENTES DE SOL HOMBRE FOSTER GRANT R1PO65-1 AZ;16806;0;2022-12-3 1T21:55:40.786014Z;FINALIZED
1000483351;MOUSE GAMER T-DAGGER PRIVATE 3200 DPI RGB BLACK;10496;0;2022 -12-31T21:55:40.786014Z;FINALIZED
1000386569;MOCHILA PARA LAPTOP CON PUERTO USB - NEGRA;10515;0;2022-12-3 1T21:55:40.786014Z;FINALIZED
1000028647;DUKAP MALETA DE VIAJE BARCELONA 51 CM 10 KG VERDE;31342;0;20 22-12-31T21:55:40.786014Z;FINALIZED
1000052710;COOLER IDOCK N10 OFFICE DE ALUMINIO BASE ROTATIVA 360 GRADOS;257 88;0;2022-12-31T21:55:40.786014Z;FINALIZED
1000084786;COOLER CYBERCOOL HA-80 ALUMINIO HASTA 15.6 PULGADAS LED AZUL;184 26;0;2022-12-31T21:55:40.786014Z;FINALIZED
10163900;PACK D'ONOFRIO HELADO PEZIDURI CHOCOLATE CREMOSO POTE 930ML X 2UN; 5006;-3632;2022-12-31T21:55:46.026774Z;REJECT
10163903;PACK D'ONOFRIO HELADO PEZIDURI CHOCOCHIPS CREMOSO POTE 930ML X 2UN;" ""5006""";-3632;2022-12-31T21:55:46.026774Z;REJECT
10062453;FILETE DE PECHUGA DE PAVO BOLSA 500G;8182;-6785;2022-12-31T21: 55:46.026774Z;REJECT
10729375;PACK GELATINA UMSHA SABOR A FRESA 120G BOLSA 2UN;1556;-1034;20 22-12-31T21:55:46.026774Z;REJECT
2939;HUEVOS DE GALLINA BELL'S PARDOS BANDEJA 15UN;1998;-900;2022-12-31T 21:55:46.026774Z;REJECT
32048;TROZOS DE ATÚN BELL'S EN ACEITE VEGETAL LATA 170G;967;-1169;2022- 12-31T21:56:08.758257Z;REJECT
10291702;HARINA MORIXE DE MAIZ BLANCO BOLSA 1K;2082;-6083;2022-12-31T21 :56:08.758257Z;REJECT
4659;MANTEQUILLA LAIVE CON SAL BARRA 100G;1388;-328;2022-12-31T21:56:08 .758257Z;REJECT
10012600;LECHE EVAPORADA BELL'S LIGHT LATA 410G;736;-698;2022-12-31T21: 56:08.758257Z;REJECT
2068;TROZOS DE ATÚN A1 EN ACEITE VEGETAL LATA 170G;883;-412;2022-12-31T 21:56:08.758257Z;REJECT
10021791;ARROZ EXTRA GRAN CHALAN BOLSA 5KG;4164;-980;2022-12-31T21:56:0 8.758257Z;REJECT
5432;MAYONESA ALACENA DOYPACK 475G;2923;-1329;2022-12-31T21:56:08.75825 7Z;REJECT
24010;ARROZ SUPERIOR PAISANA BOLSA 5KG;3786;-1129;2022-12-31T21:56:08.7 58257Z;REJECT
49952;MERMELADA COMPASS FRESA POTE 350G;1156;-271;2022-12-31T21:56:08.7 58257Z;REJECT
10746883;PACK FORTIFICANTE NESQUIK VAINILLA 350G DOYPACK 2UN;6268;-9957;" ""2022-12-31T21:56:08.758257Z""";REJECT
10674628;TOALLITAS HÚMEDAS HUGGIES LIMPIEZA EFECTIVA PAQUETE 640UN;15755; 0;2022-12-31T21:56:09.636557Z;REJECT
7528;JABÓN LÍQUIDO PARA BEBÉ DR ZAIDMAN MANZANILLA FRASCO 330ML;3742;-376 ;2022-12-31T21:56:09.636557Z;REJECT
305;CREMA PARA CUERPO AQUAMARINE ALOE FRASCO 437ML;2818;0;2022-12-31T21 :56:09.636557Z;REJECT
10283428;DISCOS DE ALGODÓN CFK BOLSA 70UN PAQUETE 3UN;5027;0;2022-12-31 T21:56:09.636557Z;REJECT
42543;HISOPOS BOREAL CLÁSICOS CAJA 200UN;1325;0;2022-12-31T21:56:09.636 557Z;REJECT
40331;HISOPOS PARA BEBÉ BOREAL PAQUETE 55UN;736;0;2022-12-31T21:56:09.6 36557Z;REJECT
7192;SHAMPOO PARA BEBÉ DR ZAIDMAN MANZANILLA BOTELLA 400ML;4185;0;2022- 12-31T21:56:09.636557Z;REJECT
107114;VENTILADOR 16 3 EN 1 PEDESTAL / PARED / PISO;21013;0;2022-12-31T 21:56:15.671386Z;FINALIZED
24379;FOTOPROTECTOR ISDIN PEDIATRICS GEL CREAM 50+ - TUBO 250 ML;26293;0 ;2022-12-31T21:56:34.909233Z;FINALIZED
5094;GASEOSA COCA COLA + INCA KOLA 2PACK BOTELLA 3L;4249;-7046;2022-12- 31T21:56:46.299216Z;FINALIZED
2047932;CAMISOLA PIJAMA MUJER ZAFIN CAMISERO MC TOILE RAYAS ALGODÓN ECRU2 TAL LA XL;14713;0;2022-12-31T21:57:07.982619Z;EXPIRED
10670704;MEZCLA LÁCTEA IDEAL CREMOSITA LATA 390G PAQUETE 6UN;4438;-7404;" ""2022-12-31T21:57:08.224643Z""";REJECT
10723766;LECHE GLORIA RECONSTITUIDA 6 PACK LATA 400G;4922;-664;2022-12- 31T21:57:19.931702Z;FINALIZED
10723766;LECHE GLORIA RECONSTITUIDA 6 PACK LATA 400G;4922;-5330;2022-12 -31T21:57:19.931702Z;FINALIZED
10614795;ACEITE VEGETAL PRIMOR PREMIUM BOTELLA 900ML;2545;-2713;2022-12 -31T21:57:19.931702Z;FINALIZED
1000451942;SMARTPHONE MOTOROLA G52 6.6 6GB 128GB 50MP+8MP+2MP NEGRO;189104 ;0;2022-12-31T21:57:30.610571Z;EXPIRED
40438;PACK CERVEZA PILSEN 12 PACK LATA 355ML X 2UN;18048;-33445;2022-12 -31T21:57:34.394197Z;FINALIZED
77753;AGUA DE MESA LOA SIN GAS BOTELLA 2.5L;504;0;2022-12-31T21:57:41.4 96159Z;REJECT
10061565;LECHE UHT ENTERA GLORIA BOTELLA 946ML;1093;-42;2022-12-31T21:5 7:41.496159Z;REJECT
10218396;MAÍZ POP CORN BELL'S BOLSA 500G;652;0;2022-12-31T21:57:41.4961 59Z;REJECT
1546;GALLETAS DE SODA SAN JORGE PAQUETE 7UN;820;0;2022-12-31T21:57:51.4 49174Z;FINALIZED
10670704;MEZCLA LÁCTEA IDEAL CREMOSITA LATA 390G PAQUETE 6UN;4438;-7404;" ""2022-12-31T21:58:21.114996Z""";FINALIZED
10163900;PACK D'ONOFRIO HELADO PEZIDURI CHOCOLATE CREMOSO POTE 930ML X 2UN; 5006;-3632;2022-12-31T21:58:35.356194Z;REJECT
10163903;PACK D'ONOFRIO HELADO PEZIDURI CHOCOCHIPS CREMOSO POTE 930ML X 2UN;" ""5006""";-3632;2022-12-31T21:58:35.356194Z;REJECT
10062453;FILETE DE PECHUGA DE PAVO BOLSA 500G;8182;-6785;2022-12-31T21: 58:35.356194Z;REJECT
10729375;PACK GELATINA UMSHA SABOR A FRESA 120G BOLSA 2UN;1556;-1034;20 22-12-31T21:58:35.356194Z;REJECT
2939;HUEVOS DE GALLINA BELL'S PARDOS BANDEJA 15UN;1998;-900;2022-12-31T 21:58:35.356194Z;REJECT
10725999;MAYONESA ALACENA DOYPACK 850G;4354;-6108;2022-12-31T21:58:45.1 08565Z;FINALIZED
10614796;ACEITE DE SOYA SAO BOTELLA 900ML;1975;-3371;2022-12-31T21:58:4 5.108565Z;FINALIZED
10614796;ACEITE DE SOYA SAO BOTELLA 900ML;1975;-1684;2022-12-31T21:58:4 5.108565Z;FINALIZED
10614795;ACEITE VEGETAL PRIMOR PREMIUM BOTELLA 900ML;2545;-866;2022-12- 31T21:58:45.108565Z;FINALIZED
10118609;MI REDMI POWER BANK 20000 MAH - NEGRO;20824;0;2022-12-31T21:59 :07.496569Z;REJECT
1952192;MOCHILA BASICA AEREAL FLORES SB-2102G;6299;0;2022-12-31T21:59:0 8.103419Z;FINALIZED
10733432;CEPILLO DE DIENTES ELÉCTRICO ORAL-B PRO-SALUD DE PILAS 1 UNIDAD;12 599;0;2022-12-31T21:59:10.166575Z;EXPIRED
10674628;TOALLITAS HÚMEDAS HUGGIES LIMPIEZA EFECTIVA PAQUETE 640UN;15755; 0;2022-12-31T21:59:21.406574Z;FINALIZED
7528;JABÓN LÍQUIDO PARA BEBÉ DR ZAIDMAN MANZANILLA FRASCO 330ML;3742;-376 ;2022-12-31T21:59:21.406574Z;FINALIZED
305;CREMA PARA CUERPO AQUAMARINE ALOE FRASCO 437ML;2818;0;2022-12-31T21 :59:21.406574Z;FINALIZED
10283428;DISCOS DE ALGODÓN CFK BOLSA 70UN PAQUETE 3UN;5027;0;2022-12-31 T21:59:21.406574Z;FINALIZED
42543;HISOPOS BOREAL CLÁSICOS CAJA 200UN;1325;0;2022-12-31T21:59:21.406 574Z;FINALIZED
40331;HISOPOS PARA BEBÉ BOREAL PAQUETE 55UN;736;0;2022-12-31T21:59:21.4 06574Z;FINALIZED
7192;SHAMPOO PARA BEBÉ DR ZAIDMAN MANZANILLA BOTELLA 400ML;4185;0;2022- 12-31T21:59:21.406574Z;FINALIZED
111930;LEJÍA SAPOLIO ORIGINAL 5 LITROS;2082;0;2022-12-31T21:59:27.01411 1Z;FINALIZED
10817;PALO DE ESCOBA DE METAL 1.2 M;1030;0;2022-12-31T21:59:27.014111Z ;FINALIZED
116527;DISPENSADOR DE LÍQUIDOS 8 LITROS + SOPORTE;21013;-4207;2022-12-3 1T21:59:27.014111Z;FINALIZED
98814;ORGANIZADOR PLÁSTICO PARA VIAJE;2503;0;2022-12-31T21:59:27.014111 Z;FINALIZED
140984;ORGANIZADOR MAQUILLAJE JADE S;3224;0;2022-12-31T21:59:27.014111Z ;FINALIZED
106614;ORGANIZADOR ORANGE ACRÍLICO DE LABIALES;2341;0;2022-12-31T21:59: 27.014111Z;FINALIZED
132470;DOWNY BRISA FRESCA 2.8 LITROS;4606;-420;2022-12-31T21:59:27.0141 11Z;FINALIZED
1000184798;SOPORTE ORGANIZADOR DE ESCOBAS 5 ESPACIOS;5153;0;2022-12-31T 21:59:27.014111Z;FINALIZED
1000328901;SET X3 ORGANIZADOR DE CAJÓN PLEGABLE PARA ROPA INTERIOR GRIS;502 7;0;2022-12-31T21:59:27.014111Z;FINALIZED
1000223578;CAJA DURAPLAST BROADWAY COLORES 50L;3134;0;2022-12-31T21:59: 27.014111Z;FINALIZED
5094;GASEOSA COCA COLA + INCA KOLA 2PACK BOTELLA 3L;4249;-7046;2022-12- 31T21:59:28.526403Z;FINALIZED
2234251;ZAPATILLAS DEPORTIVAS PARA HOMBRE PUMA 383052 12 SUPERTEC MULTICOLOR1  TALLA 41;67101;0;2022-12-31T21:59:36.854884Z;FINALIZED
1000333965;PLATO TENDIDO DECO HOME NEGRO CASA GOLD;3134;0;2022-12-31T21 :59:41.403504Z;EXPIRED
1000317315;MOLDE REDONDO DE SILICONA DECO HOME;2923;0;2022-12-31T21:59: 41.403504Z;EXPIRED
116431;ZÓCALO ROBLE STUDIO 18X58X2600MM;7341;0;2022-12-31T21:59:50.4055 55Z;FINALIZED
115807;PISO LAMINADO AC3 7 MM ROBLE STUDIO CAJA:2.47 M2;22297;0;2022-12 -31T21:59:50.405555Z;FINALIZED
111055;ESPUMA 2MM;6499;0;2022-12-31T21:59:50.405555Z;FINALIZED
140431;PINTURA PATOPLUS BLANCO 4GL;37863;0;2022-12-31T21:59:50.405555Z ;FINALIZED
89709;MASKING TAPE 1.88 X 60 YARDAS;5574;0;2022-12-31T21:59:50.405555Z ;FINALIZED
10171403;PAÑALES PARA BEBÉ BABYSEC PREMIUM XXG PAQUETE 72UN;14703;-5021;" ""2022-12-31T21:59:55.938707Z""";FINALIZED
25934;VINO TINTO TABERNERO BORGOÑA BOTELLA 750ML PAQUETE 2UN;6710;-2004;" ""2022-12-31T21:59:55.938707Z""";FINALIZED
35557;ESQUINERO PLÁSTICO CURVO 3 METROS;610;0;2022-12-31T22:00:12.69909 3Z;FINALIZED
80977;MOLDURA APLICA NATURAL 8MM 0.4X2.13 METROS;1451;0;2022-12-31T22:0 0:12.699093Z;FINALIZED
89707;CINTA MULTIUSOS PARA TUBOS 1.88 X 55YD;1030;0;2022-12-31T22:00:12 .699093Z;FINALIZED
17579;ALICATE PICO DE LORO CON MANGO DE VINIL 10;2734;0;2022-12-31T22:0 0:12.699093Z;FINALIZED
10670704;MEZCLA LÁCTEA IDEAL CREMOSITA LATA 390G PAQUETE 6UN;4438;-7404;" ""2022-12-31T22:00:43.093162Z""";FINALIZED
10586358;GALAXY A33 5G 6.4 SM-A336MZKFLTP 6GB RAM 128 GB;241692;0;2022- 12-31T22:01:28.844361Z;REJECT
5094;GASEOSA COCA COLA + INCA KOLA 2PACK BOTELLA 3L;4249;-7046;2022-12- 31T22:01:09.307675Z;FINALIZED
32048;TROZOS DE ATÚN BELL'S EN ACEITE VEGETAL LATA 170G;967;-1169;2022- 12-31T22:01:41.098696Z;REJECT
10291702;HARINA MORIXE DE MAIZ BLANCO BOLSA 1K;2082;-6083;2022-12-31T22 :01:41.098696Z;REJECT
4659;MANTEQUILLA LAIVE CON SAL BARRA 100G;1388;-328;2022-12-31T22:01:41 .098696Z;REJECT
10012600;LECHE EVAPORADA BELL'S LIGHT LATA 410G;736;-698;2022-12-31T22: 01:41.098696Z;REJECT
2068;TROZOS DE ATÚN A1 EN ACEITE VEGETAL LATA 170G;883;-412;2022-12-31T 22:01:41.098696Z;REJECT
10021791;ARROZ EXTRA GRAN CHALAN BOLSA 5KG;4164;-980;2022-12-31T22:01:4 1.098696Z;REJECT
5432;MAYONESA ALACENA DOYPACK 475G;2923;-1329;2022-12-31T22:01:41.09869 6Z;REJECT
24010;ARROZ SUPERIOR PAISANA BOLSA 5KG;3786;-1129;2022-12-31T22:01:41.0 98696Z;REJECT
49952;MERMELADA COMPASS FRESA POTE 350G;1156;-271;2022-12-31T22:01:41.0 98696Z;REJECT
10746883;PACK FORTIFICANTE NESQUIK VAINILLA 350G DOYPACK 2UN;6268;-9957;" ""2022-12-31T22:01:41.098696Z""";REJECT
40438;PACK CERVEZA PILSEN 12 PACK LATA 355ML X 2UN;18048;-66891;2022-12 -31T22:01:49.548087Z;FINALIZED
10071852;JUEGO BEBÉ GIMNASIO HUANGER;35549;-22949;2022-12-31T22:02:05.3 89732Z;FINALIZED
2160979;ZAPATILLAS URBANAS PARA MUJER HYPNOTIC PLAT CLG VERDE TALLA 35;1681 7;0;2022-12-31T22:02:44.703339Z;FINALIZED
2151852;LENTES SKULLCANDY STEEP BLACK/GREEN HOMBRE;10496;0;2022-12-31T2 2:02:59.985140Z;EXPIRED
5094;GASEOSA COCA COLA + INCA KOLA 2PACK BOTELLA 3L;4249;-7046;2022-12- 31T22:03:01.199454Z;FINALIZED
10020839;LECHE GLORIA UHT ENTERA BOLSA 900ML PAQUETE 3UN;2608;-2305;202 2-12-31T22:03:38.713170Z;FINALIZED
10020839;LECHE GLORIA UHT ENTERA BOLSA 900ML PAQUETE 3UN;2608;-3075;202 2-12-31T22:03:38.713170Z;FINALIZED
10723768;LECHE GLORIA RECONSTITUIDA 6 PACK LATA 170G;2776;-717;2022-12- 31T22:03:38.713170Z;FINALIZED
77753;AGUA DE MESA LOA SIN GAS BOTELLA 2.5L;504;0;2022-12-31T22:04:09.2 45258Z;REJECT
5208;GASEOSA INCA KOLA SIN AZÚCAR BOTELLA 1.5L;1388;0;2022-12-31T22:04: 09.245258Z;REJECT
54355;SHAMPOO ELVIVE COLOR VIVE FRASCO 680ML;6079;-588;2022-12-31T22:04 :34.802314Z;EXPIRED
28250;ARROZ EXTRA AÑEJO FARAON NARANJA BOLSA 5KG;4962;-458;2022-12-31T2 2:04:34.802314Z;EXPIRED
25122;DESODORANTE EN AEROSOL PARA MUJER DOVE DERMO ACLARANT FRASCO 90ML PAQUE TE 2UN;5237;0;2022-12-31T22:04:34.802314Z;EXPIRED
2369;HAMBURGUESA OTTO KUNZ PREMIUM 100% PURA CARNE DE RES PAQUETE 8UN;5448 ;0;2022-12-31T22:04:34.802314Z;EXPIRED
4326;TORTILLAS BIMBO WRAPS CLÁSICAS BOLSA 6UN;2250;-570;2022-12-31T22:0 4:34.802314Z;EXPIRED
5094;GASEOSA COCA COLA + INCA KOLA 2PACK BOTELLA 3L;4249;-7046;2022-12- 31T22:04:37.655738Z;FINALIZED
10670704;MEZCLA LÁCTEA IDEAL CREMOSITA LATA 390G PAQUETE 6UN;4438;-7404;" ""2022-12-31T22:04:37.798179Z""";FINALIZED
36336;PAÑALES HUGGIES XG BIGPACK NATURAL CARE - BOLSA 60 UN;14282;0;20 22-12-31T22:04:45.731912Z;FINALIZED
8428;GEL FOR MEN EGO BLACK - POTE 505 G;3891;0;2022-12-31T22:04:45.73 1912Z;FINALIZED
24864;FÓRMULA INFANTIL ENFAMIL 2 (MFGM & DHA) - CAJA 1650 G;50273;0;20 22-12-31T22:04:45.731912Z;FINALIZED
37902;TOALLITAS HÚMEDAS HUGGIES CUIDADO 4 EN 1 - PACK 3X80UN;7551;0;20 22-12-31T22:04:45.731912Z;FINALIZED
34974;PAÑALES BABYSEC SUPER PREMIUM XG - PAQUETE 68 UN;14703;0;2022-12 -31T22:04:45.731912Z;FINALIZED
569533;CEPILLO SECADOR DE CABELLO 4 EN 1 ONE STEP 1000 W CEPILLO SECADOR DE C ABELLO 4 EN 1 ONE STEP 1000W;8392;0;2022-12-31T22:04:49.020046Z;FINALIZE D
28886;CALZONCITOS ENTRENADORES NINET TALLA XXL - BOLSA 36 UN;10391;0;2 022-12-31T22:05:04.113398Z;FINALIZED
36780;CALZONCITOS ENTRENADORES NINET TALLA L - BOLSA 48 UN;10391;0;202 2-12-31T22:05:04.113398Z;FINALIZED
132223;PISCINA 3000 LITROS 3.2X1.64X0.58M;48170;0;2022-12-31T22:05:11.0 76595Z;EXPIRED
10020839;LECHE GLORIA UHT ENTERA BOLSA 900ML PAQUETE 3UN;2608;-2305;202 2-12-31T22:05:38.277416Z;FINALIZED
10020839;LECHE GLORIA UHT ENTERA BOLSA 900ML PAQUETE 3UN;2608;-3075;202 2-12-31T22:05:38.277416Z;FINALIZED
10723768;LECHE GLORIA RECONSTITUIDA 6 PACK LATA 170G;2776;-717;2022-12- 31T22:05:38.277416Z;FINALIZED
10614733;DESODORANTE EN AEROSOL DOVE MEN PROTECCIÓN TOTAL FRASCO 150ML;3344 ;0;2022-12-31T22:06:07.093960Z;FINALIZED
5094;GASEOSA COCA COLA + INCA KOLA 2PACK BOTELLA 3L;4249;-7046;2022-12- 31T22:06:09.957642Z;FINALIZED
10737437;ZAPATILLAS URBANAS PARA MUJER MALABAR FORZMAL MAL ZAP FORZMAL V5 CAJ  BLANCO 35;21024;-2103;2022-12-31T22:06:13.538278Z;FINALIZED
25434;FOTOPROTECTOR ISDIN GEL CREAM SPF 50 - TUBO 250 ML;26293;0;2022- 12-31T22:06:38.612676Z;FINALIZED
24379;FOTOPROTECTOR ISDIN PEDIATRICS GEL CREAM 50+ - TUBO 250 ML;26293;0 ;2022-12-31T22:06:38.612676Z;FINALIZED
27936;FOTOPROTECTOR EN SPRAY ISDIN TRANSPARENT DAY WET SKIN SPF 50+ - FRASCO  250 ML;27345;0;2022-12-31T22:06:38.612676Z;FINALIZED
324070;VICK VAPORUB UNGÜENTO TÓPICO;3491;0;2022-12-31T22:06:38.612676Z ;FINALIZED
